1CH 1:1	Adam, Seth, Enosh,
He has thrown down,
and has not pitied.
He has caused the enemy to rejoice over you.
He has exalted the horn of your adversaries.
LAM 2:18	Their heart cried to the Lord.
O wall of the daughter of Zion,
let tears run down like a river day and night.
Give yourself no relief.
Don’t let the your eyes rest.
LAM 2:19	Arise, cry out in the night,
at the beginning of the watches!
Pour out your heart like water before the face of the Lord.
Lift up your hands toward him for the life of your young children,
who faint for hunger at the head of every street.
LAM 2:20	“Look, Yahweh, and see to whom you have done thus!
Should the women eat their offspring,
the children that they held and bounced on their knees?
Should the priest and the prophet be killed in the sanctuary of the Lord?
LAM 2:21	“The youth and the old man lie on the ground in the streets.
My virgins and my young men have fallen by the sword.
You have killed them in the day of your anger.
You have slaughtered, and not pitied.
LAM 2:22	“You have called, as in the day of a solemn assembly, my terrors on every side.
There was no one that escaped or remained in the day of Yahweh’s anger.
My enemy has consumed those whom I have cared for and brought up.
LAM 3:1	I am the man who has seen affliction
by the rod of his wrath.
LAM 3:2	He has led me and caused me to walk in darkness,
and not in light.
LAM 3:3	Surely he turns his hand against me
again and again all day long.
LAM 3:4	He has made my flesh and my skin old.
He has broken my bones.
LAM 3:5	He has built against me,
and surrounded me with bitterness and hardship.
LAM 3:6	He has made me dwell in dark places,
as those who have been long dead.
LAM 3:7	He has walled me about, so that I can’t go out.
He has made my chain heavy.
LAM 3:8	Yes, when I cry, and call for help,
he shuts out my prayer.
LAM 3:9	He has walled up my ways with cut stone.
He has made my paths crooked.
LAM 3:10	He is to me as a bear lying in wait,
as a lion in secret places.
LAM 3:11	He has turned away my ways,
and pulled me in pieces.
He has made me desolate.
LAM 3:12	He has bent his bow,
and set me as a mark for the arrow.
LAM 3:13	He has caused the shafts of his quiver to enter into my kidneys.
LAM 3:14	I have become a derision to all my people,
and their song all day long.
LAM 3:15	He has filled me with bitterness.
He has stuffed me with wormwood.
LAM 3:16	He has also broken my teeth with gravel.
He has covered me with ashes.
LAM 3:17	You have removed my soul far away from peace.
I forgot prosperity.
LAM 3:18	I said, “My strength has perished,
along with my expectation from Yahweh.”
LAM 3:19	Remember my affliction and my misery,
the wormwood and the bitterness.
LAM 3:20	My soul still remembers them,
and is bowed down within me.
LAM 3:21	This I recall to my mind;
therefore I have hope.
LAM 3:22	It is because of Yahweh’s loving kindnesses that we are not consumed,
because his compassion doesn’t fail.
LAM 3:23	They are new every morning.
Great is your faithfulness.
LAM 3:24	“Yahweh is my portion,” says my soul.
“Therefore I will hope in him.”
LAM 3:25	Yahweh is good to those who wait for him,
to the soul who seeks him.
LAM 3:26	It is good that a man should hope
and quietly wait for the salvation of Yahweh.
LAM 3:27	It is good for a man that he bear the yoke in his youth.
LAM 3:28	Let him sit alone and keep silence,
because he has laid it on him.
LAM 3:29	Let him put his mouth in the dust,
if it is so that there may be hope.
LAM 3:30	Let him give his cheek to him who strikes him.
Let him be filled full of reproach.
LAM 3:31	For the Lord will not cast off forever.
LAM 3:32	For though he causes grief,
yet he will have compassion according to the multitude of his loving kindnesses.
LAM 3:33	For he does not afflict willingly,
nor grieve the children of men.
LAM 3:34	To crush under foot all the prisoners of the earth,
LAM 3:35	to turn away the right of a man before the face of the Most High,
LAM 3:36	to subvert a man in his cause, the Lord doesn’t approve.
LAM 3:37	Who is he who says, and it comes to pass,
when the Lord doesn’t command it?
LAM 3:38	Doesn’t evil and good come out of the mouth of the Most High?
LAM 3:39	Why does a living man complain,
a man for the punishment of his sins?
LAM 3:40	Let us search and try our ways,
and turn again to Yahweh.
LAM 3:41	Let us lift up our heart with our hands to God in the heavens.
LAM 3:42	“We have transgressed and have rebelled.
You have not pardoned.
LAM 3:43	“You have covered us with anger and pursued us.
You have killed.
You have not pitied.
LAM 3:44	You have covered yourself with a cloud,
so that no prayer can pass through.
LAM 3:45	You have made us an off-scouring and refuse
in the middle of the peoples.
LAM 3:46	“All our enemies have opened their mouth wide against us.
LAM 3:47	Terror and the pit have come on us,
devastation and destruction.”
LAM 3:48	My eye runs down with streams of water,
for the destruction of the daughter of my people.
LAM 3:49	My eye pours down
and doesn’t cease,
without any intermission,
LAM 3:50	until Yahweh looks down,
and sees from heaven.
LAM 3:51	My eye affects my soul,
because of all the daughters of my city.
LAM 3:52	They have chased me relentlessly like a bird,
those who are my enemies without cause.
LAM 3:53	They have cut off my life in the dungeon,
and have cast a stone on me.
LAM 3:54	Waters flowed over my head.
I said, “I am cut off.”
LAM 3:55	I called on your name, Yahweh,
out of the lowest dungeon.
LAM 3:56	You heard my voice:
“Don’t hide your ear from my sighing,
and my cry.”
LAM 3:57	You came near in the day that I called on you.
You said, “Don’t be afraid.”
LAM 3:58	Lord, you have pleaded the causes of my soul.
You have redeemed my life.
LAM 3:59	Yahweh, you have seen my wrong.
Judge my cause.
LAM 3:60	You have seen all their vengeance
and all their plans against me.
LAM 3:61	You have heard their reproach, Yahweh,
and all their plans against me,
LAM 3:62	the lips of those that rose up against me,
and their plots against me all day long.
LAM 3:63	You see their sitting down and their rising up.
I am their song.
LAM 3:64	You will pay them back, Yahweh,
according to the work of their hands.
LAM 3:65	You will give them hardness of heart,
your curse to them.
LAM 3:66	You will pursue them in anger,
and destroy them from under the heavens of Yahweh.
LAM 4:1	How the gold has become dim!
The most pure gold has changed!
The stones of the sanctuary are poured out
at the head of every street.
LAM 4:2	The precious sons of Zion,
comparable to fine gold,
how are they esteemed as earthen pitchers,
the work of the hands of the potter!
LAM 4:3	Even the jackals offer their breast.
They nurse their young ones.
But the daughter of my people has become cruel,
like the ostriches in the wilderness.
LAM 4:4	The tongue of the nursing child clings to the roof of his mouth for thirst.
The young children ask bread,
and no one breaks it for them.
LAM 4:5	Those who ate delicacies are desolate in the streets.
Those who were brought up in purple embrace dunghills.
LAM 4:6	For the iniquity of the daughter of my people is greater than the sin of Sodom,
which was overthrown as in a moment.
No hands were laid on her.
LAM 4:7	Her nobles were purer than snow.
They were whiter than milk.
They were more ruddy in body than rubies.
Their polishing was like sapphire.
LAM 4:8	Their appearance is blacker than a coal.
They are not known in the streets.
Their skin clings to their bones.
It is withered.
It has become like a stick.
LAM 4:9	Those who are killed with the sword are better than those who are killed with hunger;
For these pine away, stricken through,
for lack of the fruits of the field.
LAM 4:10	The hands of the pitiful women have boiled their own children.
They were their food in the destruction of the daughter of my people.
LAM 4:11	Yahweh has accomplished his wrath.
He has poured out his fierce anger.
He has kindled a fire in Zion,
which has devoured its foundations.
LAM 4:12	The kings of the earth didn’t believe,
neither did all the inhabitants of the world,
that the adversary and the enemy would enter into the gates of Jerusalem.
LAM 4:13	It is because of the sins of her prophets
and the iniquities of her priests,
That have shed the blood of the just in the middle of her.
LAM 4:14	They wander as blind men in the streets.
They are polluted with blood,
So that men can’t touch their garments.
LAM 4:15	“Go away!” they cried to them.
“Unclean! Go away! Go away! Don’t touch!
When they fled away and wandered, men said among the nations,
“They can’t live here any more.”
LAM 4:16	Yahweh’s anger has scattered them.
He will not pay attention to them any more.
They didn’t respect the persons of the priests.
They didn’t favor the elders.
LAM 4:17	Our eyes still fail,
looking in vain for our help.
In our watching we have watched for a nation that could not save.
LAM 4:18	They hunt our steps,
so that we can’t go in our streets.
Our end is near.
Our days are fulfilled,
for our end has come.
LAM 4:19	Our pursuers were swifter than the eagles of the sky.
They chased us on the mountains.
They set an ambush for us in the wilderness.
LAM 4:20	The breath of our nostrils,
the anointed of Yahweh,
was taken in their pits;
of whom we said,
under his shadow we will live among the nations.
LAM 4:21	Rejoice and be glad, daughter of Edom,
that dwells in the land of Uz.
The cup will pass through to you also.
You will be drunken,
and will make yourself naked.
LAM 4:22	The punishment of your iniquity is accomplished, daughter of Zion.
He will no more carry you away into captivity.
He will visit your iniquity, daughter of Edom.
He will uncover your sins.
LAM 5:1	Remember, Yahweh, what has come on us.
Look, and see our reproach.
LAM 5:2	Our inheritance has been turned over to strangers,
our houses to aliens.
LAM 5:3	We are orphans and fatherless.
Our mothers are as widows.
LAM 5:4	We have drunken our water for money.
Our wood is sold to us.
LAM 5:5	Our pursuers are on our necks.
We are weary, and have no rest.
LAM 5:6	We have given our hands to the Egyptians,
and to the Assyrians, to be satisfied with bread.
LAM 5:7	Our fathers sinned, and are no more.
We have borne their iniquities.
LAM 5:8	Servants rule over us.
There is no one to deliver us out of their hand.
LAM 5:9	We get our bread at the peril of our lives,
because of the sword of the wilderness.
LAM 5:10	Our skin is black like an oven,
because of the burning heat of famine.
LAM 5:11	They ravished the women in Zion,
the virgins in the cities of Judah.
LAM 5:12	Princes were hanged up by their hands.
The faces of elders were not honored.
LAM 5:13	The young men carry millstones.
The children stumbled under loads of wood.
LAM 5:14	The elders have ceased from the gate,
and the young men from their music.
LAM 5:15	The joy of our heart has ceased.
Our dance is turned into mourning.
LAM 5:16	The crown has fallen from our head.
Woe to us, for we have sinned!
LAM 5:17	For this our heart is faint.
For these things our eyes are dim.
LAM 5:18	For the mountain of Zion, which is desolate.
The foxes walk on it.
LAM 5:19	You, Yahweh, remain forever.
Your throne is from generation to generation.
LAM 5:20	Why do you forget us forever,
and forsake us for so long a time?
LAM 5:21	Turn us to yourself, Yahweh, and we will be turned.
Renew our days as of old.
LAM 5:22	But you have utterly rejected us.
You are very angry against us.
LEV 1:1	Yahweh called to Moses, and spoke to him from the Tent of Meeting, saying,
LEV 1:2	“Speak to the children of Israel, and tell them, ‘When anyone of you offers an offering to Yahweh, you shall offer your offering of the livestock, from the herd and from the flock.
LEV 1:3	“‘If his offering is a burnt offering from the herd, he shall offer a male without defect. He shall offer it at the door of the Tent of Meeting, that he may be accepted before Yahweh.
LEV 1:4	He shall lay his hand on the head of the burnt offering, and it shall be accepted for him to make atonement for him.
LEV 1:5	He shall kill the bull before Yahweh. Aaron’s sons, the priests, shall present the blood and sprinkle the blood around on the altar that is at the door of the Tent of Meeting.
LEV 1:6	He shall flay the burnt offering, and cut it into pieces.
LEV 1:7	The sons of Aaron the priest shall put fire on the altar, and lay wood in order on the fire;
LEV 1:8	and Aaron’s sons, the priests, shall lay the pieces, the head, and the fat in order on the wood that is on the fire which is on the altar;
LEV 1:9	but its innards and its legs he shall wash with water. The priest shall burn all of it on the altar, for a burnt offering, an offering made by fire, of a pleasant aroma to Yahweh.
LEV 1:10	“‘If his offering is from the flock, from the sheep, or from the goats, for a burnt offering, he shall offer a male without defect.
LEV 1:11	He shall kill it on the north side of the altar before Yahweh. Aaron’s sons, the priests, shall sprinkle its blood around on the altar.
LEV 1:12	He shall cut it into its pieces, with its head and its fat. The priest shall lay them in order on the wood that is on the fire which is on the altar,
LEV 1:13	but the innards and the legs he shall wash with water. The priest shall offer the whole, and burn it on the altar. It is a burnt offering, an offering made by fire, of a pleasant aroma to Yahweh.
LEV 1:14	“‘If his offering to Yahweh is a burnt offering of birds, then he shall offer his offering of turtledoves or of young pigeons.
LEV 1:15	The priest shall bring it to the altar, and wring off its head, and burn it on the altar; and its blood shall be drained out on the side of the altar;
LEV 1:16	and he shall take away its crop with its filth, and cast it beside the altar on the east part, in the place of the ashes.
LEV 1:17	He shall tear it by its wings, but shall not divide it apart. The priest shall burn it on the altar, on the wood that is on the fire. It is a burnt offering, an offering made by fire, of a pleasant aroma to Yahweh.
LEV 2:1	“‘When anyone offers an offering of a meal offering to Yahweh, his offering shall be of fine flour. He shall pour oil on it, and put frankincense on it.
LEV 2:2	He shall bring it to Aaron’s sons, the priests; and he shall take his handful of its fine flour, and of its oil, with all its frankincense; and the priest shall burn its memorial on the altar, an offering made by fire, of a pleasant aroma to Yahweh.
LEV 2:3	That which is left of the meal offering shall be Aaron’s and his sons’. It is a most holy thing of the offerings of Yahweh made by fire.
LEV 2:4	“‘When you offer an offering of a meal offering baked in the oven, it shall be unleavened cakes of fine flour mixed with oil, or unleavened wafers anointed with oil.
LEV 2:5	If your offering is a meal offering made on a griddle, it shall be of unleavened fine flour, mixed with oil.
LEV 2:6	You shall cut it in pieces, and pour oil on it. It is a meal offering.
LEV 2:7	If your offering is a meal offering of the pan, it shall be made of fine flour with oil.
LEV 2:8	You shall bring the meal offering that is made of these things to Yahweh: and it shall be presented to the priest, and he shall bring it to the altar.
LEV 2:9	The priest shall take from the meal offering its memorial, and shall burn it on the altar, an offering made by fire, of a pleasant aroma to Yahweh.
LEV 2:10	That which is left of the meal offering shall be Aaron’s and his sons’. It is a thing most holy of the offerings of Yahweh made by fire.
LEV 2:11	“‘No meal offering, which you shall offer to Yahweh, shall be made with yeast; for you shall burn no yeast, nor any honey, as an offering made by fire to Yahweh.
LEV 2:12	As an offering of first fruits you shall offer them to Yahweh: but they shall not rise up for a pleasant aroma on the altar.
LEV 2:13	Every offering of your meal offering you shall season with salt. You shall not allow the salt of the covenant of your God to be lacking from your meal offering. With all your offerings you shall offer salt.
LEV 2:14	“‘If you offer a meal offering of first fruits to Yahweh, you shall offer for the meal offering of your first fruits grain in the ear parched with fire, bruised grain of the fresh ear.
LEV 2:15	You shall put oil on it, and lay frankincense on it: it is a meal offering.
LEV 2:16	The priest shall burn as its memorial, part of its bruised grain, and part of its oil, along with all its frankincense: it is an offering made by fire to Yahweh.
LEV 3:1	“‘If his offering is a sacrifice of peace offerings; if he offers it from the herd, whether male or female, he shall offer it without defect before Yahweh.
LEV 3:2	He shall lay his hand on the head of his offering, and kill it at the door of the Tent of Meeting: and Aaron’s sons, the priests, shall sprinkle the blood around on the altar.
LEV 3:3	He shall offer of the sacrifice of peace offerings an offering made by fire to Yahweh; the fat that covers the innards, and all the fat that is on the innards,
LEV 3:4	and the two kidneys, and the fat that is on them, which is by the loins, and the cover on the liver, with the kidneys, he shall take away.
LEV 3:5	Aaron’s sons shall burn it on the altar on the burnt offering, which is on the wood that is on the fire: it is an offering made by fire, of a pleasant aroma to Yahweh.
LEV 3:6	“‘If his offering for a sacrifice of peace offerings to Yahweh is from the flock; male or female, he shall offer it without defect.
LEV 3:7	If he offers a lamb for his offering, then he shall offer it before Yahweh;
LEV 3:8	and he shall lay his hand on the head of his offering, and kill it before the Tent of Meeting: and Aaron’s sons shall sprinkle its blood around on the altar.
LEV 3:9	He shall offer from the sacrifice of peace offerings an offering made by fire to Yahweh; its fat, the entire tail fat, he shall take away close to the backbone; and the fat that covers the inwards, and all the fat that is on the inwards,
LEV 3:10	and the two kidneys, and the fat that is on them, which is by the loins, and the cover on the liver, with the kidneys, he shall take away.
LEV 3:11	The priest shall burn it on the altar: it is the food of the offering made by fire to Yahweh.
LEV 3:12	“‘If his offering is a goat, then he shall offer it before Yahweh:
LEV 3:13	and he shall lay his hand on its head, and kill it before the Tent of Meeting; and the sons of Aaron shall sprinkle its blood around on the altar.
LEV 3:14	He shall offer from it as his offering, an offering made by fire to Yahweh; the fat that covers the innards, and all the fat that is on the innards,
LEV 3:15	and the two kidneys, and the fat that is on them, which is by the loins, and the cover on the liver, with the kidneys, he shall take away.
LEV 3:16	The priest shall burn them on the altar: it is the food of the offering made by fire, for a pleasant aroma; all the fat is Yahweh’s.
LEV 3:17	“‘It shall be a perpetual statute throughout your generations in all your dwellings, that you shall eat neither fat nor blood.’”
LEV 4:1	Yahweh spoke to Moses, saying,
LEV 4:2	“Speak to the children of Israel, saying, ‘If anyone sins unintentionally, in any of the things which Yahweh has commanded not to be done, and does any one of them:
LEV 4:3	if the anointed priest sins so as to bring guilt on the people, then let him offer for his sin, which he has sinned, a young bull without defect to Yahweh for a sin offering.
LEV 4:4	He shall bring the bull to the door of the Tent of Meeting before Yahweh; and he shall lay his hand on the head of the bull, and kill the bull before Yahweh.
LEV 4:5	The anointed priest shall take some of the blood of the bull, and bring it to the Tent of Meeting.
LEV 4:6	The priest shall dip his finger in the blood, and sprinkle some of the blood seven times before Yahweh, before the veil of the sanctuary.
LEV 4:7	The priest shall put some of the blood on the horns of the altar of sweet incense before Yahweh, which is in the Tent of Meeting; and he shall pour out all of rest of the blood of the bull at the base of the altar of burnt offering, which is at the door of the Tent of Meeting.
LEV 4:8	He shall take all the fat of the bull of the sin offering from it; the fat that covers the innards, and all the fat that is on the innards,
LEV 4:9	and the two kidneys, and the fat that is on them, which is by the loins, and the cover on the liver, with the kidneys, he shall take away,
LEV 4:10	as it is taken from the bull of the sacrifice of peace offerings. The priest shall burn them on the altar of burnt offering.
LEV 4:11	The bull’s skin, all its meat, with its head, and with its legs, its innards, and its dung,
LEV 4:12	he shall carry the whole bull outside of the camp to a clean place, where the ashes are poured out, and burn it on wood with fire. Where the ashes are poured out, it shall be burned.
LEV 4:13	“‘If the whole congregation of Israel sins, and the thing is hidden from the eyes of the assembly, and they have done any of the things which Yahweh has commanded not to be done, and are guilty;
LEV 4:14	when the sin in which they have sinned is known, then the assembly shall offer a young bull for a sin offering, and bring it before the Tent of Meeting.
LEV 4:15	The elders of the congregation shall lay their hands on the head of the bull before Yahweh; and the bull shall be killed before Yahweh.
LEV 4:16	The anointed priest shall bring some of the blood of the bull to the Tent of Meeting:
LEV 4:17	and the priest shall dip his finger in the blood, and sprinkle it seven times before Yahweh, before the veil.
LEV 4:18	He shall put some of the blood on the horns of the altar which is before Yahweh, that is in the Tent of Meeting; and the rest of the blood he shall pour out at the base of the altar of burnt offering, which is at the door of the Tent of Meeting.
LEV 4:19	All its fat he shall take from it, and burn it on the altar.
LEV 4:20	Thus shall he do with the bull; as he did with the bull of the sin offering, so shall he do with this; and the priest shall make atonement for them, and they shall be forgiven.
LEV 4:21	He shall carry the bull outside the camp, and burn it as he burned the first bull. It is the sin offering for the assembly.
LEV 4:22	“‘When a ruler sins, and unwittingly does any one of all the things which Yahweh his God has commanded not to be done, and is guilty;
LEV 4:23	if his sin, in which he has sinned, is made known to him, he shall bring as his offering a goat, a male without defect.
LEV 4:24	He shall lay his hand on the head of the goat, and kill it in the place where they kill the burnt offering before Yahweh. It is a sin offering.
LEV 4:25	The priest shall take some of the blood of the sin offering with his finger, and put it on the horns of the altar of burnt offering. He shall pour out the rest of its blood at the base of the altar of burnt offering.
LEV 4:26	All its fat he shall burn on the altar, like the fat of the sacrifice of peace offerings; and the priest shall make atonement for him concerning his sin, and he will be forgiven.
LEV 4:27	“‘If anyone of the common people sins unwittingly, in doing any of the things which Yahweh has commanded not to be done, and is guilty;
LEV 4:28	if his sin, which he has sinned, is made known to him, then he shall bring for his offering a goat, a female without defect, for his sin which he has sinned.
LEV 4:29	He shall lay his hand on the head of the sin offering, and kill the sin offering in the place of burnt offering.
LEV 4:30	The priest shall take some of its blood with his finger, and put it on the horns of the altar of burnt offering; and the rest of its blood he shall pour out at the base of the altar.
LEV 4:31	All its fat he shall take away, like the fat is taken away from the sacrifice of peace offerings; and the priest shall burn it on the altar for a pleasant aroma to Yahweh; and the priest shall make atonement for him, and he will be forgiven.
LEV 4:32	“‘If he brings a lamb as his offering for a sin offering, he shall bring a female without defect.
LEV 4:33	He shall lay his hand on the head of the sin offering, and kill it for a sin offering in the place where they kill the burnt offering.
LEV 4:34	The priest shall take some of the blood of the sin offering with his finger, and put it on the horns of the altar of burnt offering; and all the rest of its blood he shall pour out at the base of the altar.
LEV 4:35	All its fat he shall take away, like the fat of the lamb is taken away from the sacrifice of peace offerings; and the priest shall burn them on the altar, on the offerings of Yahweh made by fire; and the priest shall make atonement for him concerning his sin that he has sinned, and he will be forgiven.
LEV 5:1	“‘If anyone sins, in that he hears the voice of adjuration, he being a witness, whether he has seen or known, if he doesn’t report it, then he shall bear his iniquity.
LEV 5:2	“‘Or if anyone touches any unclean thing, whether it is the carcass of an unclean animal, or the carcass of unclean livestock, or the carcass of unclean creeping things, and it is hidden from him, and he is unclean, then he shall be guilty.
LEV 5:3	“‘Or if he touches the uncleanness of man, whatever his uncleanness is with which he is unclean, and it is hidden from him; when he knows of it, then he shall be guilty.
LEV 5:4	“‘Or if anyone swears rashly with his lips to do evil, or to do good, whatever it is that a man might utter rashly with an oath, and it is hidden from him; when he knows of it, then he shall be guilty of one of these.
LEV 5:5	It shall be, when he is guilty of one of these, he shall confess that in which he has sinned:
LEV 5:6	and he shall bring his trespass offering to Yahweh for his sin which he has sinned, a female from the flock, a lamb or a goat, for a sin offering; and the priest shall make atonement for him concerning his sin.
LEV 5:7	“‘If he can’t afford a lamb, then he shall bring his trespass offering for that in which he has sinned, two turtledoves, or two young pigeons, to Yahweh; one for a sin offering, and the other for a burnt offering.
LEV 5:8	He shall bring them to the priest, who shall first offer the one which is for the sin offering, and wring off its head from its neck, but shall not sever it completely.
LEV 5:9	He shall sprinkle some of the blood of the sin offering on the side of the altar; and the rest of the blood shall be drained out at the base of the altar. It is a sin offering.
LEV 5:10	He shall offer the second for a burnt offering, according to the ordinance; and the priest shall make atonement for him concerning his sin which he has sinned, and he shall be forgiven.
LEV 5:11	“‘But if he can’t afford two turtledoves, or two young pigeons, then he shall bring his offering for that in which he has sinned, one tenth of an ephah of fine flour for a sin offering. He shall put no oil on it, and he shall not put any frankincense on it, for it is a sin offering.
LEV 5:12	He shall bring it to the priest, and the priest shall take his handful of it as the memorial portion, and burn it on the altar, on the offerings of Yahweh made by fire. It is a sin offering.
LEV 5:13	The priest shall make atonement for him concerning his sin that he has sinned in any of these things, and he will be forgiven; and the rest shall be the priest’s, as the meal offering.’”
LEV 5:14	Yahweh spoke to Moses, saying,
LEV 5:15	“If anyone commits a trespass, and sins unwittingly, in the holy things of Yahweh; then he shall bring his trespass offering to Yahweh, a ram without defect from the flock, according to your estimation in silver by shekels, after the shekel of the sanctuary, for a trespass offering.
LEV 5:16	He shall make restitution for that which he has done wrong in the holy thing, and shall add a fifth part to it, and give it to the priest; and the priest shall make atonement for him with the ram of the trespass offering, and he will be forgiven.
LEV 5:17	“If anyone sins, and does any of the things which Yahweh has commanded not to be done; though he didn’t know it, yet he is guilty, and shall bear his iniquity.
LEV 5:18	He shall bring a ram without defect from of the flock, according to your estimation, for a trespass offering, to the priest; and the priest shall make atonement for him concerning the thing in which he sinned and didn’t know it, and he will be forgiven.
LEV 5:19	It is a trespass offering. He is certainly guilty before Yahweh.”
LEV 7:1	“‘This is the law of the trespass offering. It is most holy.
LEV 7:2	In the place where they kill the burnt offering, he shall kill the trespass offering; and its blood he shall sprinkle around on the altar.
LEV 7:3	He shall offer all of its fat: the fat tail, and the fat that covers the innards,
LEV 7:4	and the two kidneys, and the fat that is on them, which is by the loins, and the cover on the liver, with the kidneys, shall he take away;
LEV 7:5	and the priest shall burn them on the altar for an offering made by fire to Yahweh: it is a trespass offering.
LEV 7:6	Every male among the priests may eat of it. It shall be eaten in a holy place. It is most holy.
LEV 7:7	“‘As is the sin offering, so is the trespass offering; there is one law for them. The priest who makes atonement with them shall have it.
LEV 7:8	The priest who offers any man’s burnt offering, even the priest shall have for himself the skin of the burnt offering which he has offered.
LEV 7:9	Every meal offering that is baked in the oven, and all that is dressed in the pan, and on the griddle, shall be the priest’s who offers it.
LEV 7:10	Every meal offering, mixed with oil or dry, belongs to all the sons of Aaron, one as well as another.
LEV 7:11	“‘This is the law of the sacrifice of peace offerings, which one shall offer to Yahweh.
LEV 7:12	If he offers it for a thanksgiving, then he shall offer with the sacrifice of thanksgiving unleavened cakes mixed with oil, and unleavened wafers anointed with oil, and cakes mixed with oil.
LEV 7:13	With cakes of leavened bread he shall offer his offering with the sacrifice of his peace offerings for thanksgiving.
LEV 7:14	Of it he shall offer one out of each offering for a heave offering to Yahweh. It shall be the priest’s who sprinkles the blood of the peace offerings.
LEV 7:15	The flesh of the sacrifice of his peace offerings for thanksgiving shall be eaten on the day of his offering. He shall not leave any of it until the morning.
LEV 7:16	“‘But if the sacrifice of his offering is a vow, or a freewill offering, it shall be eaten on the day that he offers his sacrifice; and on the next day what remains of it shall be eaten:
LEV 7:17	but what remains of the meat of the sacrifice on the third day shall be burned with fire.
LEV 7:18	If any of the meat of the sacrifice of his peace offerings is eaten on the third day, it will not be accepted, and it shall not be credited to him who offers it. It will be an abomination, and the soul who eats any of it will bear his iniquity.
LEV 7:19	“‘The meat that touches any unclean thing shall not be eaten. It shall be burned with fire. As for the meat, everyone who is clean may eat it;
LEV 7:20	but the soul who eats of the meat of the sacrifice of peace offerings, that belongs to Yahweh, having his uncleanness on him, that soul shall be cut off from his people.
LEV 7:21	When anyone touches any unclean thing, the uncleanness of man, or an unclean animal, or any unclean abomination, and eats some of the meat of the sacrifice of peace offerings, which belong to Yahweh, that soul shall be cut off from his people.’”
LEV 7:22	Yahweh spoke to Moses, saying,
LEV 7:23	“Speak to the children of Israel, saying, ‘You shall eat no fat, of bull, or sheep, or goat.
LEV 7:24	The fat of that which dies of itself, and the fat of that which is torn of animals, may be used for any other service, but you shall in no way eat of it.
LEV 7:25	For whoever eats the fat of the animal, of which men offer an offering made by fire to Yahweh, even the soul who eats it shall be cut off from his people.
LEV 7:26	You shall not eat any blood, whether it is of bird or of animal, in any of your dwellings.
LEV 7:27	Whoever it is who eats any blood, that soul shall be cut off from his people.’”
LEV 7:28	Yahweh spoke to Moses, saying,
LEV 7:29	“Speak to the children of Israel, saying, ‘He who offers the sacrifice of his peace offerings to Yahweh shall bring his offering to Yahweh out of the sacrifice of his peace offerings.
LEV 7:30	With his own hands he shall bring the offerings of Yahweh made by fire. He shall bring the fat with the breast, that the breast may be waved for a wave offering before Yahweh.
LEV 7:31	The priest shall burn the fat on the altar, but the breast shall be Aaron’s and his sons’.
LEV 7:32	The right thigh you shall give to the priest for a heave offering out of the sacrifices of your peace offerings.
LEV 7:33	He among the sons of Aaron who offers the blood of the peace offerings, and the fat, shall have the right thigh for a portion.
LEV 7:34	For the waved breast and the heaved thigh I have taken from the children of Israel out of the sacrifices of their peace offerings, and have given them to Aaron the priest and to his sons as their portion forever from the children of Israel.’”
LEV 7:35	This is the anointing portion of Aaron, and the anointing portion of his sons, out of the offerings of Yahweh made by fire, in the day when he presented them to minister to Yahweh in the priest’s office;
LEV 7:36	which Yahweh commanded to be given them of the children of Israel, in the day that he anointed them. It is their portion forever throughout their generations.
LEV 7:37	This is the law of the burnt offering, of the meal offering, and of the sin offering, and of the trespass offering, and of the consecration, and of the sacrifice of peace offerings;
LEV 7:38	which Yahweh commanded Moses in Mount Sinai, in the day that he commanded the children of Israel to offer their offerings to Yahweh, in the wilderness of Sinai.
LEV 8:1	Yahweh spoke to Moses, saying,
LEV 8:2	“Take Aaron and his sons with him, and the garments, and the anointing oil, and the bull of the sin offering, and the two rams, and the basket of unleavened bread;
LEV 8:3	and assemble all the congregation at the door of the Tent of Meeting.”
LEV 8:4	Moses did as Yahweh commanded him; and the congregation was assembled at the door of the Tent of Meeting.
LEV 8:5	Moses said to the congregation, “This is the thing which Yahweh has commanded to be done.”
LEV 8:6	Moses brought Aaron and his sons, and washed them with water.
LEV 8:7	He put the coat on him, tied the sash on him, clothed him with the robe, put the ephod on him, and he tied the skillfully woven band of the ephod on him, and fastened it to him with it.
LEV 8:8	He placed the breastplate on him; and in the breastplate he put the Urim and the Thummim.
LEV 8:9	He set the turban on his head; and on the turban, in front, he set the golden plate, the holy crown; as Yahweh commanded Moses.
LEV 8:10	Moses took the anointing oil, and anointed the tabernacle and all that was in it, and sanctified them.
LEV 8:11	He sprinkled it on the altar seven times, and anointed the altar and all its vessels, and the basin and its base, to sanctify them.
LEV 8:12	He poured some of the anointing oil on Aaron’s head, and anointed him, to sanctify him.
LEV 8:13	Moses brought Aaron’s sons, and clothed them with coats, and tied sashes on them, and put headbands on them; as Yahweh commanded Moses.
LEV 8:14	He brought the bull of the sin offering, and Aaron and his sons laid their hands on the head of the bull of the sin offering.
LEV 8:15	He killed it; and Moses took the blood, and put it around on the horns of the altar with his finger, and purified the altar, and poured out the blood at the base of the altar, and sanctified it, to make atonement for it.
LEV 8:16	He took all the fat that was on the innards, and the cover of the liver, and the two kidneys, and their fat; and Moses burned it on the altar.
